,Model,GenderSelf,Feminine,Attractive,Image,y_label,LL,dist_centre_F,dist_centre_H,LL_M,LL_F,pF_svm_linear,pF_svm_rbf
14,AF-214,F,5.08,3.730769231,CFD-AF-214-139-N.jpg,14,223.76501140813377,0.8621728420257568,0.9123883843421936,,217.3788907646271,0.9313082451420881,0.9478027404216669
15,AF-215,F,4.296296296,2.814814815,CFD-AF-215-70-N.jpg,15,222.10657760652265,0.829961895942688,0.911596417427063,,216.5430879620774,0.9617810614369524,0.9691774198994367
16,AF-216,F,4.666666667,3.266666667,CFD-AF-216-106-N.jpg,16,255.14134767179115,0.8280276656150818,0.9722263216972351,,266.24177134892244,0.9970293523823884,0.9985634137404026
17,AF-217,F,4.833333333,3.833333333,CFD-AF-217-155-N.jpg,17,226.40694096784904,0.8078070878982544,0.8959182500839233,,223.0931977896248,0.9445130810666285,0.9584691595264354
18,AF-218,F,5.714285714,4.678571429,CFD-AF-218-157-N.jpg,18,250.43325035572144,0.7872411012649536,0.9204410314559937,,254.6099547607223,0.9963679262739737,0.9974488117791328
19,AF-219,F,4.964285714,2.928571429,CFD-AF-219-106-N.jpg,19,199.1448146029983,0.8439444899559021,0.9318121671676636,,182.57600867653574,0.9956549110536694,0.9922793849209407
20,AF-220,F,4.565217391,3.173913043,CFD-AF-220-107-N.jpg,20,212.6935151541815,0.8908576965332031,1.0135881900787354,,206.19363305659533,0.9921702660020971,0.9973171137245698
21,AF-221,F,4.074074074,3,CFD-AF-221-147-N.jpg,21,219.46901585940304,0.8984366059303284,0.9206015467643738,,198.10159217097714,0.8013729371330908,0.8207809802045162
22,AF-222,F,4.551724138,3.689655172,CFD-AF-222-134-N.jpg,22,226.26875299708695,0.8546909689903259,0.9497876167297363,,226.1266778514287,0.9976579465767917,0.9980755162982068
23,AF-223,F,4.692307692,3.185185185,CFD-AF-223-183-N.jpg,23,242.7861426285479,0.8373441696166992,0.9686292409896851,,243.51829453683658,0.9939005785833331,0.9954825150756915
24,AF-224,F,4.44,3.24,CFD-AF-224-026-N.jpg,24,199.87683172986502,0.8670822381973267,0.9874460101127625,,198.04248370000244,0.9982192359557606,0.9982834407486286
25,AF-225,F,4.655172414,3.034482759,CFD-AF-225-141-N.jpg,25,242.39631060949284,0.8238099813461304,0.842795193195343,,221.46463574498736,0.6811543723519894,0.61341398497654
26,AF-226,F,4.56,3.56,CFD-AF-226-251-N.jpg,26,248.78933167559217,0.820891797542572,0.9667664766311646,,251.73204142288049,0.9985869154478668,0.99921212961791
27,AF-227,F,5.115384615,3.92,CFD-AF-227-207-N.jpg,27,222.86841271233848,0.866856038570404,0.9527587294578552,,207.29257366375757,0.9849354885089845,0.9892132526799667
28,AF-228,F,5.115384615,4.346153846,CFD-AF-228-173-N.jpg,28,250.61591883130401,0.7848975658416748,0.9072965383529663,,254.56388508588228,0.993057859092725,0.9954525515349596
29,AF-229,F,4.925925926,4.37037037,CFD-AF-229-160-N.jpg,29,236.34492350592552,0.8399885296821594,0.9577683210372925,,241.64506520145542,0.9954553553227367,0.9972464168085461
30,AF-230,F,5.333333333,4.518518519,CFD-AF-230-193-N.jpg,30,245.6644182198693,0.8739729523658752,0.9901098608970642,,258.5129210095292,0.9933682929183227,0.9963736236391157
31,AF-231,F,3.25,2.347826087,CFD-AF-231-357-N.jpg,31,214.21057778374612,0.775397777557373,0.8753542900085449,,211.855845025553,0.9991971666795527,0.999227612719793
32,AF-232,F,3.769230769,2.846153846,CFD-AF-232-078-N.jpg,32,244.72554894780993,0.8349447250366211,0.9473751783370972,,233.6569449380754,0.9809069498595959,0.9888404806953065
33,AF-233,F,5.178571429,4.035714286,CFD-AF-233-190-N.jpg,33,236.7060663931751,0.8534517884254456,0.9795803427696228,,249.8423296760367,0.9981184548658278,0.9988091584772721
34,AF-234,F,4.518518519,3.185185185,CFD-AF-234-208-N.jpg,34,248.38935032333245,0.7698947787284851,0.8211466670036316,,251.1261774830433,0.9107638785068943,0.8552792918733304
35,AF-235,F,5.5,4.192307692,CFD-AF-235-170-N.jpg,35,235.12625574958594,0.8520752191543579,0.962621808052063,,229.07107089707543,0.9886893073102022,0.9926445420965754
36,AF-236,F,5,3.666666667,CFD-AF-236-145-N.jpg,36,253.4562325895594,0.7738454937934875,0.8726671934127808,,255.35417599640465,0.9966921257240938,0.9924068972834923
37,AF-237,F,5.185185185,4.555555556,CFD-AF-237-223-N.jpg,37,214.25158309491286,0.8677077889442444,0.9488475918769836,,217.62349368126345,0.9987805296082807,0.9974154524053876
38,AF-238,F,4.037037037,2.888888889,CFD-AF-238-185-N.jpg,38,229.74291186311453,0.8403373956680298,0.8827530145645142,,231.58754448976137,0.8476249673345119,0.8491286442000966
39,AF-239,F,5.222222222,4.148148148,CFD-AF-239-171-N.jpg,39,207.53257462547776,0.8576396107673645,1.0280581712722778,,203.776990310396,0.9998751952142141,0.9999440668225364
40,AF-240,F,4.75,3.586206897,CFD-AF-240-206-N.jpg,40,240.11561674100713,0.8013496994972229,0.8346545696258545,,241.58965367101035,0.856305353666329,0.8140843206947362
41,AF-241,F,4.916666667,2.958333333,CFD-AF-241-141-N.jpg,41,220.88318209996373,0.8169607520103455,0.9397740960121155,,214.26846599894384,0.9995935609731227,0.9996728045228296
42,AF-242,F,5.518518519,4.964285714,CFD-AF-242-158-N.jpg,42,237.41810925717363,0.8094226717948914,0.9705507755279541,,240.92916350354915,0.9997043995275058,0.9998650621945852
43,AF-243,F,5.137931034,4.413793103,CFD-AF-243-170-N.jpg,43,187.72814736746287,0.9578638672828674,1.0593585968017578,,185.4435780364375,0.9957899115219272,0.9968496260205107
44,AF-244,F,5.458333333,4.666666667,CFD-AF-244-168-N.jpg,44,235.70796542390096,0.8741282224655151,0.9881929755210876,,250.61357637963602,0.9927917371649465,0.9959608090062162
45,AF-245,F,5.037037037,4.555555556,CFD-AF-245-143-N.jpg,45,222.44677186515997,0.904920756816864,1.0419843196868896,,231.22751721084597,0.9896210498182648,0.9973455310351285
46,AF-246,F,4.740740741,3.615384615,CFD-AF-246-242-N.jpg,46,241.0968181591917,0.7470711469650269,0.8264939785003662,,231.0892772282465,0.9195453527048568,0.9323553897497201
47,AF-247,F,4.071428571,3.178571429,CFD-AF-247-278-N.jpg,47,239.81974675601325,0.8554913401603699,1.0089701414108276,,244.05864519962694,0.9968765483151083,0.9994098253537486
48,AF-248,F,5.464285714,4.137931034,CFD-AF-248-148-N.jpg,48,210.77191151150612,0.8825974464416504,1.031965732574463,,226.11214534751866,0.9974265907160688,0.9997173386005443
49,AF-249,F,5.24,4.56,CFD-AF-249-092-N.jpg,49,211.62198410844334,0.8395763635635376,1.005198359489441,,193.55922208576686,0.9999247987166112,0.9999498799427459
50,AF-250,F,4.892857143,3.964285714,CFD-AF-250-200-N.jpg,50,234.18427646463377,0.7846906185150146,0.8885486125946045,,222.8962646827684,0.9876616128535348,0.9768610714945172
51,AF-251,F,5.25,4.607142857,CFD-AF-251-093-N.jpg,51,214.842264599775,0.8441147208213806,0.967485785484314,,213.41363091109065,0.9994205520032831,0.9995967835613341
52,AF-252,F,5.586206897,4.206896552,CFD-AF-252-135-N.jpg,52,245.11752114411127,0.7902116179466248,0.8434192538261414,,230.05462322593942,0.9227227633892116,0.9101722023302422
53,AF-253,F,5.586206897,4.535714286,CFD-AF-253-130-N.jpg,53,259.9075158644201,0.8297441601753235,0.9401155114173889,,269.3897811225501,0.9369309129180912,0.9614035515174637
54,AF-254,F,5.4,3.84,CFD-AF-254-167-N.jpg,54,234.64747409806398,0.8141998648643494,0.9177749752998352,,243.5497661772686,0.9924939580435567,0.9913281595863082
55,AF-255,F,5.48,4.8,CFD-AF-255-209-N.jpg,55,204.33112010089187,0.8462643027305603,0.9622440934181213,,186.9255551739796,0.999485647597821,0.999056121922767
56,AF-256,F,4.409090909,3.454545455,CFD-AF-256-160-N.jpg,56,237.8460052445822,0.8553868532180786,1.0092710256576538,,245.36348145537008,0.9998197099875554,0.9997859881208394
57,AM-201,M,1.541666667,3.04,CFD-AM-201-076-N.jpg,57,235.9734615952035,0.8525630831718445,0.845689594745636,227.4292438336291,,0.042882605697390316,0.053467367801507196
58,AM-202,M,1.538461538,2.777777778,CFD-AM-202-079-N.jpg,58,212.15605312288838,0.8675540685653687,0.8441470861434937,157.48335667660308,,0.025828981871090145,0.06459381733819627
59,AM-203,M,2.083333333,2.458333333,CFD-AM-203-086-N.jpg,59,237.76317031132476,0.8361483812332153,0.8126778602600098,232.0435708867181,,0.049926354941708925,0.04820745216585857
60,AM-204,M,2.130434783,3.041666667,CFD-AM-204-122-N.jpg,60,239.48847737811332,0.8638479709625244,0.8553441762924194,234.9850623543149,,0.26762481370905494,0.2088041850882269
61,AM-205,M,1.416666667,2.625,CFD-AM-205-153-N.jpg,61,223.8074979203922,0.890110194683075,0.838194727897644,217.33801107393847,,1.352897200405238e-05,1.1857411398722665e-05
62,AM-206,M,1.428571429,2.285714286,CFD-AM-206-086-N.jpg,62,241.20952376557264,0.8535938262939453,0.8905700445175171,226.89206265266367,,0.14673613058955134,0.28444624117697004
63,AM-207,M,1.458333333,2.958333333,CFD-AM-207-108-N.jpg,63,233.01169038724424,0.8363909125328064,0.8372882604598999,222.60936430657569,,0.10111902191562522,0.19798801676463207
64,AM-208,M,1.464285714,2.964285714,CFD-AM-208-143-N.jpg,64,238.02108736180423,0.846621036529541,0.8074405789375305,233.15242879584636,,0.10413520003649931,0.0713844683406054
65,AM-209,M,1.428571429,2.857142857,CFD-AM-209-048-N.jpg,65,232.58851597355257,0.8926475644111633,0.8807627558708191,224.1587171103261,,0.12442114785184577,0.22525281475295153
66,AM-210,M,2.285714286,3.80952381,CFD-AM-210-035-N.jpg,66,239.5527489048091,0.8835777044296265,0.893571674823761,239.65167999502256,,0.03772158139613129,0.20028256470037858
67,AM-211,M,1.428571429,3.428571429,CFD-AM-211-052-N.jpg,67,245.24150720505264,0.8177234530448914,0.7347991466522217,249.3580793934038,,0.016647944770329635,0.016270353616318987
68,AM-212,M,1.259259259,1.846153846,CFD-AM-212-050-N.jpg,68,196.99975506570757,0.9074636697769165,0.863627552986145,188.32083433126,,0.04157925631446346,0.06934331708025443
69,AM-213,M,1.285714286,2.142857143,CFD-AM-213-056-N.jpg,69,216.29109333000548,0.824839174747467,0.8875446319580078,206.7459600053186,,0.9180207304516987,0.9381280189903158
70,AM-214,M,1.925925926,3.888888889,CFD-AM-214-168-N.jpg,70,178.08302425952738,0.9777500033378601,0.8372496962547302,179.63495859873876,,3.9541860216672066e-08,1.4406804098025032e-08
71,AM-215,M,1.407407407,3.076923077,CFD-AM-215-120-N.jpg,71,171.95748914992456,0.9316198229789734,0.9768648743629456,135.75338743330565,,0.2804064791081047,0.5278199076079365
72,AM-216,M,1.6,4.12,CFD-AM-216-114-N.jpg,72,248.97095107026934,0.8675614595413208,0.8429168462753296,239.71725842760873,,0.028035066036042073,0.031962172601644585
73,AM-217,M,1.384615385,2.538461538,CFD-AM-217-085-N.jpg,73,184.5633794878077,0.9349207878112793,0.8835247159004211,126.92611575458002,,9.07362499621191e-06,0.013086960159980052
74,AM-218,M,1.25,3.214285714,CFD-AM-218-085-N.jpg,74,224.58841834178992,0.8090463280677795,0.8482829928398132,193.34545993844452,,0.8068799157868035,0.7928838206169281
75,AM-219,M,1.466666667,2.517241379,CFD-AM-219-101-N.jpg,75,202.66842330030568,0.8841922283172607,0.8217524886131287,186.57273413193838,,0.016158582898395977,0.00974250774927031
76,AM-220,M,1.344827586,2.344827586,CFD-AM-220-134-N.jpg,76,244.8417093170577,0.8436395525932312,0.8029472827911377,242.30189155842112,,0.12764240396310075,0.07474183237326056
77,AM-221,M,1.807692308,3.230769231,CFD-AM-221-184-N.jpg,77,237.7997004452536,0.8630130887031555,0.8516354560852051,228.85694122565005,,0.40151236620921155,0.5461190271907518
78,AM-223,M,1.259259259,2.222222222,CFD-AM-223-138-N.jpg,78,234.61154517648623,0.8415287137031555,0.76907879114151,235.4811682115913,,4.7295644021524175e-06,1.4380271254024087e-05
79,AM-224,M,1.48,1.52,CFD-AM-224-126-N.jpg,79,195.17080399179542,0.9445544481277466,0.9231320023536682,175.64915698283576,,0.0517639508223978,0.12380243726314856
80,AM-225,M,1.48,3.52,CFD-AM-225-102-N.jpg,80,220.90604544112173,0.9745500087738037,0.8950203657150269,206.2157571916477,,1.792952178405988e-06,3.03900195185265e-06
81,AM-226,M,1.272727273,1.80952381,CFD-AM-226-234-N.jpg,81,226.43325734332018,0.8593468070030212,0.8468469977378845,227.60145223367334,,0.029405003257166513,0.050278052735795074
82,AM-227,M,1.038461538,2.384615385,CFD-AM-227-184-N.jpg,82,226.8147399719598,0.8553693890571594,0.7750234007835388,221.8103240121401,,0.0047754767538219795,0.005707164842418131
83,AM-228,M,1.535714286,3.428571429,CFD-AM-228-214-N.jpg,83,240.87643942336337,0.897400975227356,0.7940280437469482,253.96085818438817,,1.8876952770743516e-06,7.173755552363572e-07
84,AM-229,M,1.538461538,3.48,CFD-AM-229-224-N.jpg,84,227.89261929516476,0.8842571377754211,0.8377534747123718,213.82225159018316,,0.00623063089204316,0.014326902599710856
85,AM-230,M,1.739130435,2.173913043,CFD-AM-230-150-N.jpg,85,234.83177592050635,0.8581324219703674,0.8904827833175659,203.08464880069513,,0.2063457978907722,0.35879908596187504
86,AM-231,M,1.379310345,3.571428571,CFD-AM-231-136-N.jpg,86,210.17860345631487,0.9567463994026184,0.8966546654701233,209.74941584843725,,7.239287301444029e-07,1.5636274928645635e-06
87,AM-232,M,1.153846154,2.16,CFD-AM-232-251-N.jpg,87,179.0453975499903,0.939440131187439,0.9240667223930359,147.20015660993454,,0.0674328517938881,0.06570710769980641
88,AM-233,M,1.153846154,1.857142857,CFD-AM-233-236-N.jpg,88,197.6660725887334,0.9396213889122009,0.8993823528289795,125.34145959725524,,0.12168160084769829,0.09115383199504429
89,AM-234,M,1.653846154,2.692307692,CFD-AM-234-355-N.jpg,89,222.0629281526687,0.8824832439422607,0.9140911102294922,131.1280262278822,,0.9985669678097604,0.9963613054864491
90,AM-235,M,1.52,2.36,CFD-AM-235-241-N.jpg,90,177.9750090193932,0.9822762608528137,0.9181973934173584,167.0054533993792,,0.0045949231569316715,0.006479387971504321
91,AM-236,M,1.428571429,2.888888889,CFD-AM-236-090-N.jpg,91,220.39895314388912,0.8706147074699402,0.7929906845092773,221.53262296338775,,4.720311452093093e-06,0.002632870223032254
92,AM-237,M,2,3.269230769,CFD-AM-237-154-N.jpg,92,239.56218701124345,0.8613556027412415,0.8377763628959656,216.2465612400997,,0.06883656444526909,0.04987879651115737
93,AM-238,M,1.769230769,3.12,CFD-AM-238-269-N.jpg,93,252.80396188095602,0.8258105516433716,0.8197811841964722,246.77181029508228,,0.10522161076264422,0.09903650549000775
94,AM-239,M,1.92,3.24,CFD-AM-239-147-N.jpg,94,211.90129605265582,0.8640409708023071,0.8906127214431763,203.25455651708245,,0.17925971042788894,0.4434433988751513
95,AM-240,M,1.384615385,2.36,CFD-AM-240-191-N.jpg,95,216.25640854417617,0.8888406753540039,0.8651622533798218,194.63292140688318,,0.11471866261999214,0.06465330339623385
96,AM-241,M,1.576923077,3.538461538,CFD-AM-241-287-N.jpg,96,239.33451334156115,0.821265459060669,0.8263323903083801,240.92721859196936,,0.07930511968471078,0.10076413931836292
97,AM-242,M,1.48,2.4,CFD-AM-242-176-N.jpg,97,175.3878448216751,0.9319965243339539,0.8645707368850708,168.4716617365715,,2.2177042143673342e-07,7.1865681594354395e-06
98,AM-243,M,1.96,3.68,CFD-AM-243-212-N.jpg,98,239.53282519013555,0.8854075074195862,0.729890763759613,233.80355711705474,,7.15795376760206e-07,2.2507159275332872e-08
99,AM-244,M,1.464285714,2.678571429,CFD-AM-244-222-N.jpg,99,193.54161404154883,0.9582085013389587,0.9234793186187744,181.5343572418094,,0.8279157468199169,0.5352497592537572
100,AM-245,M,1.28,3.6,CFD-AM-245-111-N.jpg,100,239.5842122563539,0.8750368356704712,0.7840218544006348,240.309966249012,,8.422197657485736e-06,1.4635062427127819e-06
101,AM-246,M,1.892857143,3.074074074,CFD-AM-246-184-N.jpg,101,226.82418442899012,0.8255742788314819,0.7620468139648438,205.0745879880806,,0.029113930116351338,0.012098429362392513
102,AM-247,M,1.666666667,2.375,CFD-AM-247-165-N.jpg,102,222.79646994262689,0.9052354097366333,0.8623391389846802,198.83726481845503,,0.03637323173846177,0.035763613624342876
103,AM-248,M,1.538461538,2.846153846,CFD-AM-248-104-N.jpg,103,213.79150661427656,0.9134201407432556,0.890173077583313,204.48053186811012,,0.08056284614974198,0.03803588438319308
104,AM-249,M,1.791666667,2.541666667,CFD-AM-249-163-N.jpg,104,191.8585213069876,1.028181552886963,1.0115996599197388,159.65101150204038,,0.11279407528550349,0.1447932359711055
105,AM-250,M,2.038461538,3.076923077,CFD-AM-250-149-N.jpg,105,208.24087442162767,0.8868681192398071,0.8569223880767822,175.36761427574748,,0.012100238234074837,0.038966880927885375
106,AM-251,M,1.153846154,2.461538462,CFD-AM-251-124-N.jpg,106,232.95282081110622,0.8896120190620422,0.8131791353225708,234.09030320217275,,7.367602270765802e-07,2.9509750370257775e-06
107,AM-252,M,1.92,2.64,CFD-AM-252-114-N.jpg,107,240.2403206343717,0.8245465755462646,0.8461053967475891,225.6117408357725,,0.117928329424504,0.229801578296119
108,AM-253,M,1.586206897,3.862068966,CFD-AM-253-161-N.jpg,108,238.8127906567608,0.8514778017997742,0.7233403921127319,234.66754516613702,,0.013828203381058602,0.006256959596053222
109,BF-001,F,3.887640449,2.730337079,CFD-BF-001-025-N.jpg,109,167.54351465112774,0.9062670469284058,0.9057498574256897,,97.19710613833502,0.8563886373103254,0.8193250806123814
110,BF-002,F,5.397849462,4.892473118,CFD-BF-002-001-N.jpg,110,210.90371543404876,0.7983890175819397,0.8662588000297546,,203.0536514868042,0.9989326439721345,0.9963053659789726
111,BF-003,F,4.191011236,3.191011236,CFD-BF-003-003-N.jpg,111,219.66869890829273,0.8621429800987244,0.9415881037712097,,208.27459567906052,0.9995288570572503,0.9990796767690621
112,BF-004,F,3.744444444,2.711111111,CFD-BF-004-014-N.jpg,112,215.13457590982648,0.9048380851745605,0.9182713627815247,,206.43161313855947,0.970837716817014,0.9678034631379424
113,BF-005,F,4.791208791,4.076923077,CFD-BF-005-001-N.jpg,113,211.852899983724,0.8360370397567749,0.889650821685791,,178.15836464880368,0.9937077572968643,0.9873785598010685
114,BF-006,F,4.532608696,3.380434783,CFD-BF-006-017-N.jpg,114,183.26946919643,0.8704053163528442,0.884327232837677,,166.1283995349489,0.982453172614776,0.9760267172632944
115,BF-007,F,3.197802198,1.769230769,CFD-BF-007-001-N.jpg,115,202.0684132923896,0.8966850638389587,0.9471647143363953,,169.8063021233707,0.998100685508699,0.9952220452658382
116,BF-008,F,3.988505747,3.068965517,CFD-BF-008-001-N.jpg,116,156.68770430120685,0.9401344060897827,1.023485541343689,,103.49673122378542,0.9986433028983621,0.9992842673520301
117,BF-009,F,3.795698925,2.77173913,CFD-BF-009-002-N.jpg,117,221.78235998405796,0.8347665071487427,0.8961963653564453,,227.09204755601206,0.9968188099734233,0.9974414660958913
118,BF-010,F,4.1,2.722222222,CFD-BF-010-001-N.jpg,118,226.22428621183573,0.8340854644775391,0.9419907331466675,,226.31955978103306,0.9990325062173449,0.9990272622143566
119,BF-011,F,4.054945055,2.989247312,CFD-BF-011-002-N.jpg,119,191.83003464980618,0.9333900809288025,0.9500018954277039,,176.30927623500673,0.2049960617128737,0.5894436776743013
120,BF-012,F,3.290322581,2.161290323,CFD-BF-012-001-N.jpg,120,195.3345250671508,0.8880255818367004,0.901585042476654,,171.6186399380793,0.6966627916936912,0.802441064788177
121,BF-013,F,5.466666667,4.777777778,CFD-BF-013-001-N.jpg,121,243.390639064883,0.7272262573242188,0.7881051301956177,,240.3955133485419,0.9877006767008217,0.9908314263623091
122,BF-014,F,3.802325581,2.406976744,CFD-BF-014-002-N.jpg,122,184.8634785264391,0.8465175628662109,0.8913405537605286,,176.25857362562715,0.9914570139002754,0.9839073331486501
123,BF-015,F,4.690721649,3.721649485,CFD-BF-015-004-N.jpg,123,195.752101746924,0.9454707503318787,0.9816091060638428,,152.4920082501196,0.987521482354635,0.9777251171831344
124,BF-016,F,4.120481928,2.476190476,CFD-BF-016-017-N.jpg,124,228.27883723198195,0.7957014441490173,0.9206638336181641,,222.35725620661276,0.9999350876582882,0.9998972765181474
125,BF-017,F,4.284090909,2.988636364,CFD-BF-017-003-N.jpg,125,215.43629230515583,0.8725144863128662,0.9385408759117126,,199.10323490021437,0.9986634146092986,0.9982321099728977
126,BF-018,F,4.611111111,3.444444444,CFD-BF-018-039-N.jpg,126,213.39666521963662,0.8519304394721985,0.9722160696983337,,215.92724945630619,0.9997102516339357,0.9994973570168815
127,BF-019,F,4.010989011,2.615384615,CFD-BF-019-001-N.jpg,127,202.89336095094114,0.8968822956085205,0.9445807933807373,,200.40956100603108,0.9869239957861701,0.982305112252728
128,BF-020,F,3.446808511,2.64893617,CFD-BF-020-002-N.jpg,128,198.79242085874662,0.9417455196380615,0.923033595085144,,135.43608237406698,0.08097785931330126,0.07956241123072912
129,BF-021,F,3.989130435,3.054347826,CFD-BF-021-013-N.jpg,129,218.07466354506863,0.8080833554267883,0.8385438919067383,,208.93970835633922,0.9952919528116722,0.9864404631614271
130,BF-023,F,3.911111111,2.857142857,CFD-BF-023-010-N.jpg,130,228.68480662653857,0.7805601358413696,0.8566483855247498,,203.71908094028763,0.9959978406618373,0.9960654255991144
131,BF-024,F,3.5,2.3,CFD-BF-024-002-N.jpg,131,219.24339136776894,0.814805269241333,0.8816075921058655,,220.53168444513213,0.9867057298351983,0.9830354344830421
132,BF-025,F,4.659574468,3.70212766,CFD-BF-025-002-N.jpg,132,204.8461341154356,0.9640856385231018,1.0020503997802734,,203.81253338549192,0.9739795048815992,0.9521987577025033
133,BF-027,F,4.365591398,3,CFD-BF-027-002-N.jpg,133,188.29733608123138,0.9553097486495972,1.0146558284759521,,192.57084805636856,0.9921385566668193,0.9922100249380825
134,BF-028,F,4.655913978,3.731182796,CFD-BF-028-001-N.jpg,134,193.8831895825059,0.8505606651306152,0.8653908371925354,,181.68801442658562,0.26535548848914164,0.4008922616964695
135,BF-029,F,3.104651163,2.11627907,CFD-BF-029-031-N.jpg,135,200.27782036367793,0.9233976006507874,0.9186649918556213,,187.41571716517785,0.9415940924245311,0.9068434157359831
136,BF-030,F,4.720430108,3.741935484,CFD-BF-030-002-N.jpg,136,218.14873596147106,0.8545849323272705,0.8649674654006958,,203.78563392154632,0.7335579372206995,0.8399394074094836
137,BF-031,F,4.260869565,3.02173913,CFD-BF-031-002-N.jpg,137,210.620164857759,0.9013670682907104,0.9439558982849121,,189.05100755175786,0.9452381924495054,0.9159878524305982
138,BF-032,F,3.652631579,2.357894737,CFD-BF-032-038-N.jpg,138,200.23772603119158,0.9449294209480286,0.9409927725791931,,207.6533702800888,0.8399442334089116,0.8464505693623104
139,BF-033,F,3.308510638,2.436170213,CFD-BF-033-028-N.jpg,139,221.6279065055072,0.873170793056488,0.8862226009368896,,200.9320779196164,0.9755672371014411,0.8579720581683691
140,BF-034,F,3.164948454,2.237113402,CFD-BF-034-002-N.jpg,140,221.54244182099126,0.9314356446266174,0.9172298312187195,,213.7253162882477,0.6912296143139957,0.606603018530422
141,BF-035,F,2.341176471,2.658823529,CFD-BF-035-001-N.jpg,141,228.48597289067388,0.8876058459281921,0.8522769808769226,,182.24812931816317,0.0101114986563543,0.06350324985415351
142,BF-036,F,4.460674157,3.719101124,CFD-BF-036-027-N.jpg,142,213.3324101550979,0.8125556707382202,0.9116984605789185,,204.14717189294404,0.9956221689732405,0.9980333977150588
143,BF-037,F,4.252873563,2.941176471,CFD-BF-037-022-N.jpg,143,242.6735835747662,0.8113653063774109,0.8686420321464539,,242.9471173944346,0.9832177505991805,0.9833881589017177
144,BF-038,F,2.924731183,1.892473118,CFD-BF-038-037-N.jpg,144,223.28185081034317,0.7727335691452026,0.8036526441574097,,216.3854143606685,0.9364842215200305,0.9327108795015563
145,BF-039,F,4.511111111,3.322222222,CFD-BF-039-031-N.jpg,145,209.25348556330593,0.9240357279777527,0.9093652963638306,,175.4256277406966,0.8955439701024369,0.8199547217988007
146,BF-040,F,4.068965517,3.206896552,CFD-BF-040-003-N.jpg,146,217.406864981179,0.8767757415771484,0.9018058180809021,,209.1593873884888,0.9826222091628031,0.9815805995218982
147,BF-041,F,4.723404255,4,CFD-BF-041-001-N.jpg,147,209.6849919499293,0.9020947217941284,0.8863661885261536,,180.78019734192526,0.6170888817243945,0.46099406512873775
148,BF-042,F,4.522727273,3.738636364,CFD-BF-042-026-N.jpg,148,205.38011838271476,0.8561627864837646,0.9146811962127686,,185.02136236835915,0.9975217809058475,0.9948275638526393
149,BF-043,F,4.336956522,3.225806452,CFD-BF-043-003-N.jpg,149,237.625756051445,0.8441866636276245,0.8103975057601929,,227.95881974755312,0.593094788565152,0.599673185499015
